distance_between,description,child,parent,do_not_evaluate
1,"0-Infectious gastroenteritis and colitis, unspecified",0-A09,2-A09,TRUE
1,,0-Clostridium perfringens,0-dummy2,TRUE
1,,0-Clostridium perfringens,2-Clostridium perfringens,TRUE
1,,0-Escherichia coli,0-dummy2,TRUE
1,,0-Escherichia coli,2-Escherichia coli,TRUE
1,0-Acute nasopharyngitis [common cold],0-J00,0-J00-J06,TRUE
1,0-Acute nasopharyngitis [common cold],0-J00,2-J00,TRUE
1,0-Acute upper respiratory infections,0-J00-J06,0-J00-J99,TRUE
1,0-Acute upper respiratory infections,0-J00-J06,2-J00-J06,TRUE
1,0-Diseases of the respiratory system,0-J00-J99,0-Root,TRUE
1,0-Diseases of the respiratory system,0-J00-J99,2-J00-J99,TRUE
1,0-Acute sinusitis,0-J01,0-J00-J06,TRUE
1,0-Acute sinusitis,0-J01,2-J01,TRUE
1,0-Acute maxillary sinusitis,0-J01.0,0-J01,TRUE
1,0-Acute maxillary sinusitis,0-J01.0,2-J01.0,TRUE
1,"0-Acute maxillary sinusitis, unspecified",0-J01.00,0-J01.0,TRUE
1,"0-Acute maxillary sinusitis, unspecified",0-J01.00,2-J01.00,TRUE
1,0-Acute recurrent maxillary sinusitis,0-J01.01,0-J01.0,TRUE
1,0-Acute recurrent maxillary sinusitis,0-J01.01,2-J01.01,TRUE
1,0-Acute frontal sinusitis,0-J01.1,0-J01,TRUE
1,0-Acute frontal sinusitis,0-J01.1,2-J01.1,TRUE
1,"0-Acute frontal sinusitis, unspecified",0-J01.10,0-J01.1,TRUE
1,"0-Acute frontal sinusitis, unspecified",0-J01.10,2-J01.10,TRUE
1,0-Acute recurrent frontal sinusitis,0-J01.11,0-J01.1,TRUE
1,0-Acute recurrent frontal sinusitis,0-J01.11,2-J01.11,TRUE
1,0-Acute ethmoidal sinusitis,0-J01.2,0-J01,TRUE
1,0-Acute ethmoidal sinusitis,0-J01.2,2-J01.2,TRUE
1,"0-Acute ethmoidal sinusitis, unspecified",0-J01.20,0-J01.2,TRUE
1,"0-Acute ethmoidal sinusitis, unspecified",0-J01.20,2-J01.20,TRUE
1,0-Acute recurrent ethmoidal sinusitis,0-J01.21,0-J01.2,TRUE
1,0-Acute recurrent ethmoidal sinusitis,0-J01.21,2-J01.21,TRUE
1,0-Acute sphenoidal sinusitis,0-J01.3,0-J01,TRUE
1,0-Acute sphenoidal sinusitis,0-J01.3,2-J01.3,TRUE
1,"0-Acute sphenoidal sinusitis, unspecified",0-J01.30,0-J01.3,TRUE
1,"0-Acute sphenoidal sinusitis, unspecified",0-J01.30,2-J01.30,TRUE
1,0-Acute recurrent sphenoidal sinusitis,0-J01.31,0-J01.3,TRUE
1,0-Acute recurrent sphenoidal sinusitis,0-J01.31,2-J01.31,TRUE
1,0-Acute pansinusitis,0-J01.4,0-J01,TRUE
1,0-Acute pansinusitis,0-J01.4,2-J01.4,TRUE
1,"0-Acute pansinusitis, unspecified",0-J01.40,0-J01.4,TRUE
1,"0-Acute pansinusitis, unspecified",0-J01.40,2-J01.40,TRUE
1,0-Acute recurrent pansinusitis,0-J01.41,0-J01.4,TRUE
1,0-Acute recurrent pansinusitis,0-J01.41,2-J01.41,TRUE
1,0-Other acute sinusitis,0-J01.8,0-J01,TRUE
1,0-Other acute sinusitis,0-J01.8,2-J01.8,TRUE
1,0-Other acute sinusitis,0-J01.80,0-J01.8,TRUE
1,0-Other acute sinusitis,0-J01.80,2-J01.80,TRUE
1,0-Other acute recurrent sinusitis,0-J01.81,0-J01.8,TRUE
1,0-Other acute recurrent sinusitis,0-J01.81,2-J01.81,TRUE
1,"0-Acute sinusitis, unspecified",0-J01.9,0-J01,TRUE
1,"0-Acute sinusitis, unspecified",0-J01.9,2-J01.9,TRUE
1,"0-Acute sinusitis, unspecified",0-J01.90,0-J01.9,TRUE
1,"0-Acute sinusitis, unspecified",0-J01.90,2-J01.90,TRUE
1,"0-Acute recurrent sinusitis, unspecified",0-J01.91,0-J01.9,TRUE
1,"0-Acute recurrent sinusitis, unspecified",0-J01.91,2-J01.91,TRUE
1,0-Acute pharyngitis,0-J02,0-J00-J06,TRUE
1,0-Acute pharyngitis,0-J02,2-J02,TRUE
1,0-Streptococcal pharyngitis,0-J02.0,0-J02,TRUE
1,0-Streptococcal pharyngitis,0-J02.0,0-Other streptococcus,TRUE
1,0-Streptococcal pharyngitis,0-J02.0,2-J02.0,TRUE
1,0-Acute pharyngitis due to other specified organisms,0-J02.8,0-J02,TRUE
1,0-Acute pharyngitis due to other specified organisms,0-J02.8,2-J02.8,TRUE
1,"0-Acute pharyngitis, unspecified",0-J02.9,0-J02,TRUE
1,"0-Acute pharyngitis, unspecified",0-J02.9,2-J02.9,TRUE
1,0-Acute tonsillitis,0-J03,0-J00-J06,TRUE
1,0-Acute tonsillitis,0-J03,2-J03,TRUE
1,0-Streptococcal tonsillitis,0-J03.0,0-J03,TRUE
1,0-Streptococcal tonsillitis,0-J03.0,0-Other streptococcus,TRUE
1,0-Streptococcal tonsillitis,0-J03.0,2-J03.0,TRUE
1,"0-Acute streptococcal tonsillitis, unspecified",0-J03.00,0-J03.0,TRUE
1,"0-Acute streptococcal tonsillitis, unspecified",0-J03.00,2-J03.00,TRUE
1,0-Acute recurrent streptococcal tonsillitis,0-J03.01,0-J03.0,TRUE
1,0-Acute recurrent streptococcal tonsillitis,0-J03.01,2-J03.01,TRUE
1,0-Acute tonsillitis due to other specified organisms,0-J03.8,0-J03,TRUE
1,0-Acute tonsillitis due to other specified organisms,0-J03.8,2-J03.8,TRUE
1,0-Acute tonsillitis due to other specified organisms,0-J03.80,0-J03.8,TRUE
1,0-Acute tonsillitis due to other specified organisms,0-J03.80,2-J03.80,TRUE
1,0-Acute recurrent tonsillitis due to other specified organisms,0-J03.81,0-J03.8,TRUE
1,0-Acute recurrent tonsillitis due to other specified organisms,0-J03.81,2-J03.81,TRUE
1,"0-Acute tonsillitis, unspecified",0-J03.9,0-J03,TRUE
1,"0-Acute tonsillitis, unspecified",0-J03.9,2-J03.9,TRUE
1,"0-Acute tonsillitis, unspecified",0-J03.90,0-J03.9,TRUE
1,"0-Acute tonsillitis, unspecified",0-J03.90,2-J03.90,TRUE
1,"0-Acute recurrent tonsillitis, unspecified",0-J03.91,0-J03.9,TRUE
1,"0-Acute recurrent tonsillitis, unspecified",0-J03.91,2-J03.91,TRUE
1,0-Acute laryngitis and tracheitis,0-J04,0-J00-J06,TRUE
1,0-Acute laryngitis and tracheitis,0-J04,2-J04,TRUE
1,0-Acute laryngitis,0-J04.0,0-J04,TRUE
1,0-Acute laryngitis,0-J04.0,2-J04.0,TRUE
1,0-Acute tracheitis,0-J04.1,0-J04,TRUE
1,0-Acute tracheitis,0-J04.1,2-J04.1,TRUE
1,0-Acute tracheitis without obstruction,0-J04.10,0-J04.1,TRUE
1,0-Acute tracheitis without obstruction,0-J04.10,2-J04.10,TRUE
1,0-Acute tracheitis with obstruction,0-J04.11,0-J04.1,TRUE
1,0-Acute tracheitis with obstruction,0-J04.11,2-J04.11,TRUE
1,0-Acute laryngotracheitis,0-J04.2,0-J04,TRUE
1,0-Acute laryngotracheitis,0-J04.2,2-J04.2,TRUE
1,"0-Supraglottitis, unspecified",0-J04.3,0-J04,TRUE
1,"0-Supraglottitis, unspecified",0-J04.3,2-J04.3,TRUE
1,"0-Supraglottitis, unspecified, without obstruction",0-J04.30,0-J04.3,TRUE
1,"0-Supraglottitis, unspecified, without obstruction",0-J04.30,2-J04.30,TRUE
1,"0-Supraglottitis, unspecified, with obstruction",0-J04.31,0-J04.3,TRUE
1,"0-Supraglottitis, unspecified, with obstruction",0-J04.31,2-J04.31,TRUE
1,0-Acute obstructive laryngitis [croup] and epiglottitis,0-J05,0-J00-J06,TRUE
1,0-Acute obstructive laryngitis [croup] and epiglottitis,0-J05,2-J05,TRUE
1,0-Acute obstructive laryngitis [croup],0-J05.0,0-J05,TRUE
1,0-Acute obstructive laryngitis [croup],0-J05.0,2-J05.0,TRUE
1,0-Acute epiglottitis,0-J05.1,0-J05,TRUE
1,0-Acute epiglottitis,0-J05.1,2-J05.1,TRUE
1,0-Acute epiglottitis without obstruction,0-J05.10,0-J05.1,TRUE
1,0-Acute epiglottitis without obstruction,0-J05.10,2-J05.10,TRUE
1,0-Acute epiglottitis with obstruction,0-J05.11,0-J05.1,TRUE
1,0-Acute epiglottitis with obstruction,0-J05.11,2-J05.11,TRUE
1,0-Acute upper respiratory infections of multiple and unspecified sites,0-J06,0-J00-J06,TRUE
1,0-Acute upper respiratory infections of multiple and unspecified sites,0-J06,2-J06,TRUE
1,0-Acute laryngopharyngitis,0-J06.0,0-J06,TRUE
1,0-Acute laryngopharyngitis,0-J06.0,2-J06.0,TRUE
1,"0-Acute upper respiratory infection, unspecified",0-J06.9,0-J06,TRUE
1,"0-Acute upper respiratory infection, unspecified",0-J06.9,2-J06.9,TRUE
1,,0-Other streptococcus,0-dummy2,TRUE
1,,0-Other streptococcus,2-Other streptococcus,TRUE
1,"0-Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0-R00-R99,0-Root,TRUE
1,"0-Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",0-R00-R99,2-R00-R99,TRUE
1,0-Abdominal and pelvic pain,0-R10,0-R10-R19,TRUE
1,0-Abdominal and pelvic pain,0-R10,2-R10,TRUE
1,0-Symptoms and signs involving the digestive system and abdomen,0-R10-R19,0-R00-R99,TRUE
1,0-Symptoms and signs involving the digestive system and abdomen,0-R10-R19,2-R10-R19,TRUE
